pos_element	neg_element	POS	pos_key	neg_key	pos_definition	neg_definition	reversed_ann1	affixal/non-affixal_ann1	negative affix_ann1	positive affix_ann1	direct/indirect_ann1	subtype_ann1	reversed_ann2	affixal/non-affixal_ann2	negative affix_ann2	positive affix_ann2	direct/indirect_ann2	subtype_ann2
dove	hawk	n	dove%1:18:00::	hawk%1:18:00::	someone who prefers negotiations to armed conflict in the conduct of foreign relations	an advocate of an aggressive policy on foreign relations	no	non-affixal	_	_	_	_	_	_	_	_	_	_
dovishness	hawkishness	n	dovishness%1:09:00::	hawkishness%1:09:00::	any political orientation favoring compromise to avoid conflict	any political orientation favoring aggressive policies	no	non-affixal	_	_	_	_	_	_	_	_	_	_
downtick	uptick	n	downtick%1:04:00::	uptick%1:04:00::	a transaction in the stock market at a price below the price of the preceding transaction	a transaction in the stock market at a price above the price of the preceding transaction	yes	affixal	down-	up-	indirect	ROD	_	_	_	_	_	_
downtime	uptime	n	downtime%1:28:00::	uptime%1:28:00::	a period of time when something (as a machine or factory) is not operating (especially as a result of malfunctions)	a period of time when something (as a machine or factory) is functioning and available for use	_	_	_	_	_	_	yes	non-affixal	_	_	_	_
draftee	volunteer	n	draftee%1:18:00::	volunteer%1:18:01::	someone who is drafted into military service	(military) a person who freely enlists for service	no	non-affixal	_	_	_	_	_	_	_	_	_	_
driver	nondriver	n	driver%1:18:00::	nondriver%1:18:00::	the operator of a motor vehicle	a person who is not a driver	_	_	_	_	_	_	no	affixal	non-	_	indirect	OPP
drunkenness	soberness	n	drunkenness%1:26:00::	soberness%1:26:00::	a temporary state resulting from excessive consumption of alcohol	the state of being sober and not intoxicated by alcohol	no	non-affixal	_	_	_	_	_	_	_	_	_	_
dry-bulb_thermometer	wet-bulb_thermometer	n	dry-bulb_thermometer%1:06:00::	wet-bulb_thermometer%1:06:00::	an ordinary thermometer with a dry bulb; used to measure the air temperature	a thermometer with a bulb that is covered with moist muslin; used in a psychrometer to measure humidity	_	_	_	_	_	_	no	non-affixal	_	_	_	_
dry_fly	wet_fly	n	dry_fly%1:06:00::	wet_fly%1:06:00::	a fly (fisherman's lure) that skims the surface of the water	fisherman's fly that floats under the surface of the water	_	_	_	_	_	_	no	non-affixal	_	_	_	_
dumb_bomb	smart_bomb	n	dumb_bomb%1:06:00::	smart_bomb%1:06:00::	a bomb that falls because of gravity and is not guided to a target	a bomb that can be guided (by a laser beam or radio) to its target	no	non-affixal	_	_	_	_	_	_	_	_	_	_
earliness	lateness	n	earliness%1:07:00::	lateness%1:07:00::	quality of coming early or earlier in time	quality of coming late or later in time	_	_	_	_	_	_	no	non-affixal	_	_	_	_
earned_run	unearned_run	n	earned_run%1:04:00::	unearned_run%1:04:00::	a run that was not scored as the result of an error by the other team	a run that was scored as a result of an error by the other team	_	_	_	_	_	_	no	affixal	un-	_	direct	_
ease	difficulty	n	ease%1:07:00::	difficulty%1:07:00::	freedom from difficulty or hardship or effort	the quality of being difficult	no	non-affixal	_	_	_	_	no	non-affixal	_	_	_	_
easy_money	tight_money	n	easy_money%1:21:01::	tight_money%1:21:00::	the economic condition in which credit is easy to secure	the economic condition in which credit is difficult to secure and interest rates are high	no	non-affixal	_	_	_	_	no	non-affixal	_	_	_	_
eating_apple	cooking_apple	n	eating_apple%1:13:00::	cooking_apple%1:13:00::	an apple used primarily for eating raw without cooking	an apple used primarily in cooking for pies and applesauce etc	_	_	_	_	_	_	no	non-affixal	_	_	_	_
ebbtide	flood_tide	n	ebbtide%1:11:00::	flood_tide%1:11:00::	the tide while water is flowing out	the occurrence of incoming water (between a low tide and the following high tide)	no	non-affixal	_	_	_	_	_	_	_	_	_	_
effectiveness	ineffectiveness	n	effectiveness%1:07:00::	ineffectiveness%1:07:00::	power to be effective; the quality of being able to bring about an effect	lacking the power to be effective	no	affixal	in-	_	direct	_	_	_	_	_	_	_
effector	receptor	n	effector%1:08:00::	receptor%1:08:00::	an organ (a gland or muscle) that becomes active in response to nerve impulses	an organ having nerve endings (in the skin or viscera or eye or ear or nose or mouth) that respond to stimulation	_	_	_	_	_	_	no	non-affixal	_	_	_	_
efficacy	inefficacy	n	efficacy%1:07:00::	inefficacy%1:07:00::	capacity or power to produce a desired effect	a lack of efficacy	no	affixal	in-	_	direct	_	_	_	_	_	_	_
efficiency	inefficiency	n	efficiency%1:09:00::	inefficiency%1:09:00::	skillfulness in avoiding wasted time and effort	unskillfulness resulting from a lack of efficiency	no	affixal	in-	_	indirect	INS	no	affixal	in-	_	direct	_
effortlessness	effortfulness	n	effortlessness%1:07:00::	effortfulness%1:07:00::	the quality of requiring little effort	the quality of requiring deliberate effort	yes	affixal	-less	-ful	indirect	LAC	_	_	_	_	_	_
egalitarian	elitist	n	egalitarian%1:18:00::	elitist%1:18:00::	a person who believes in the equality of all people	someone who believes in rule by an elite group	_	_	_	_	_	_	no	non-affixal	_	_	_	_
egress	ingress	n	egress%1:11:00::	ingress%1:11:00::	(astronomy) the reappearance of a celestial body after an eclipse	(astronomy) the disappearance of a celestial body prior to an eclipse	no	non-affixal	_	_	_	_	_	_	_	_	_	_
elasticity	inelasticity	n	elasticity%1:07:00::	inelasticity%1:07:00::	the tendency of a body to return to its original shape after it has been stretched or compressed	the lack of elasticity	_	_	_	_	_	_	no	affixal	in-	_	direct	_
electrolytic_cell	voltaic_cell	n	electrolytic_cell%1:06:00::	voltaic_cell%1:06:00::	a cell containing an electrolyte in which an applied voltage causes a reaction to occur that would not occur otherwise (such as the breakdown of water into hydrogen and oxygen)	an electric cell that generates an electromotive force by an irreversible conversion of chemical to electrical energy; cannot be recharged	_	_	_	_	_	_	no	non-affixal	_	_	_	_
elegance	inelegance	n	elegance%1:07:00::	inelegance%1:07:00::	a refined quality of gracefulness and good taste	the quality of lacking refinement and good taste	no	affixal	in-	_	direct	_	_	_	_	_	_	_
eligibility	ineligibility	n	eligibility%1:07:00::	ineligibility%1:07:00::	the quality or state of being eligible	the quality or state of being ineligible	_	_	_	_	_	_	no	affixal	in-	_	direct	_
embarrassment	disembarrassment	n	embarrassment%1:11:00::	disembarrassment%1:11:00::	some event that causes someone to be embarrassed	something that extricates you from embarrassment	no	affixal	dis-	_	indirect	ROA	no	affixal	dis-	_	indirect	ROA
emersion	immersion	n	emersion%1:11:00::	immersion%1:11:01::	(astronomy) the reappearance of a celestial body after an eclipse	(astronomy) the disappearance of a celestial body prior to an eclipse	_	_	_	_	_	_	no	affixal	im-	_	direct	_
emotional_person	unemotional_person	n	emotional_person%1:18:00::	unemotional_person%1:18:00::	a person subject to strong states of emotion	someone who is seemingly indifferent to emotions	no	affixal	un-	_	direct	_	_	_	_	_	_	_
emotionality	unemotionality	n	emotionality%1:07:00::	unemotionality%1:07:00::	emotional nature or quality	absence of emotion	_	_	_	_	_	_	no	affixal	un-	_	direct	_
employee	employer	n	employee%1:18:00::	employer%1:18:00::	a worker who is hired to perform a job	a person or firm that employs workers	no	non-affixal	_	_	_	_	_	_	_	_	_	_
employment	unemployment	n	employment%1:26:00::	unemployment%1:26:00::	the state of being employed or having a job	the state of being unemployed or not having a job	no	affixal	un-	_	direct	_	_	_	_	_	_	_
encouragement	discouragement	n	encouragement%1:10:01::	discouragement%1:10:00::	the expression of approval and support	the expression of opposition and disapproval	no	affixal	dis-	_	direct	_	_	_	_	_	_	_
endogamy	exogamy	n	endogamy%1:26:00::	exogamy%1:26:00::	marriage within one's own tribe or group as required by custom or law	marriage to a person belonging to a tribe or group other than your own as required by custom or law	_	_	_	_	_	_	no	non-affixal	_	_	_	_
endotoxin	exotoxin	n	endotoxin%1:27:00::	exotoxin%1:27:00::	a toxin that is confined inside the microorganisms and is released only when the microorganisms are broken down or die	a toxin that is secreted by microorganisms into the surrounding medium	_	_	_	_	_	_	no	non-affixal	_	_	_	_
enfranchisement	disenfranchisement	n	enfranchisement%1:04:00::	disenfranchisement%1:04:00::	the act of certifying or bestowing a franchise on	the act of withdrawing certification or terminating a franchise	_	_	_	_	_	_	no	affixal	dis-	_	indirect	ROA
engagement	non-engagement	n	engagement%1:04:00::	non-engagement%1:04:00::	the act of sharing in the activities of a group	withdrawing from the activities of a group	no	affixal	non-	_	direct	_	_	_	_	_	_	_
enlightenment	unenlightenment	n	enlightenment%1:09:00::	unenlightenment%1:09:00::	education that results in understanding and the spread of knowledge	a lack of understanding	_	_	_	_	_	_	no	affixal	un-	_	direct	_
environmentalism	hereditarianism	n	environmentalism%1:09:00::	hereditarianism%1:09:00::	the philosophical doctrine that environment is more important than heredity in determining intellectual growth	the philosophical doctrine that heredity is more important than environment in determining intellectual growth	_	_	_	_	_	_	no	non-affixal	_	_	_	_
equality	inequality	n	equality%1:07:00::	inequality%1:07:00::	the quality of being the same in quantity or measure or value or status	lack of equality	no	affixal	in-	_	direct	_	_	_	_	_	_	_
equity	inequity	n	equity%1:07:00::	inequity%1:07:00::	conformity with rules or standards	injustice by virtue of not conforming with rules or standards	_	_	_	_	_	_	no	affixal	in-	_	direct	_
equivalence	nonequivalence	n	equivalence%1:07:02::	nonequivalence%1:07:00::	essential equality and interchangeability	not interchangeable	no	affixal	non-	_	direct	_	_	_	_	_	_	_
eremite	cenobite	n	eremite%1:18:00::	cenobite%1:18:00::	a Christian recluse	a member of a religious order living in common	_	_	_	_	_	_	no	non-affixal	_	_	_	_
essential	inessential	n	essential%1:17:00::	inessential%1:17:00::	anything indispensable	anything that is not essential	_	_	_	_	_	_	no	affixal	in-	_	direct	_
essentiality	inessentiality	n	essentiality%1:07:00::	inessentiality%1:07:00::	basic importance	not of basic importance	_	_	_	_	_	_	no	affixal	in-	_	direct	_
estrus	anestrus	n	estrus%1:26:00::	anestrus%1:26:00::	applies to nonhuman mammals: a state or period of heightened sexual arousal and activity	applies to nonhuman mammals: a state or interval of sexual inactivity between two periods of estrus	_	_	_	_	_	_	no	non-affixal	_	_	_	_
eugenics	dysgenics	n	eugenics%1:09:00::	dysgenics%1:09:00::	the study of methods of improving genetic qualities by selective breeding (especially as applied to human mating)	the study of the operation of factors causing degeneration in the type of offspring produced	no	affixal	dys-	_	indirect	ROD	_	_	_	_	_	_
eukaryote	prokaryote	n	eukaryote%1:05:00::	prokaryote%1:05:00::	an organism with cells characteristic of all life forms except primitive microorganisms such as bacteria; i.e. an organism with `good' or membrane-bound nuclei in its cells	a unicellular organism having cells lacking membrane-bound nuclei; bacteria are the prime example but also included are blue-green algae and actinomycetes and mycoplasma	no	non-affixal	_	_	_	_	no	non-affixal	_	_	_	_
euphemism	dysphemism	n	euphemism%1:10:00::	dysphemism%1:10:00::	an inoffensive or indirect expression that is substituted for one that is considered offensive or too harsh	an offensive or disparaging expression that is substituted for an inoffensive one	no	affixal	dys-	_	indirect	ROD	_	_	_	_	_	_
euphoria	dysphoria	n	euphoria%1:12:00::	dysphoria%1:12:00::	a feeling of great (usually exaggerated) elation	abnormal depression and discontent	_	_	_	_	_	_	no	affixal	dys-	_	indirect	OPP
evenness	unevenness	n	evenness%1:07:00::	unevenness%1:07:00::	a quality of uniformity and lack of variation	the quality of being uneven and lacking uniformity	_	_	_	_	_	_	no	affixal	un-	_	direct	_
evergreen_plant	deciduous_plant	n	evergreen_plant%1:20:00::	deciduous_plant%1:20:00::	a plant having foliage that persists and remains green throughout the year	a plant having foliage that is shed annually at the end of the growing season	no	non-affixal	_	_	_	_	_	_	_	_	_	_
exactness	inexactness	n	exactness%1:07:00::	inexactness%1:07:00::	the quality of being exact	the quality of being inaccurate and having errors	no	affixal	in-	_	direct	_	_	_	_	_	_	_
exchangeability	unexchangeability	n	exchangeability%1:07:00::	unexchangeability%1:07:00::	the quality of being capable of exchange or interchange	the quality of being incapable of exchange or interchange	_	_	_	_	_	_	no	affixal	un-	_	direct	_
exclusion	inclusion	n	exclusion%1:26:00::	inclusion%1:26:00::	the state of being excluded	the state of being included	no	non-affixal	_	_	_	_	_	_	_	_	_	_
existence	nonexistence	n	existence%1:26:00::	nonexistence%1:26:00::	the state or fact of existing	the state of not existing	no	affixal	non-	_	direct	_	_	_	_	_	_	_
exon	intron	n	exon%1:27:00::	intron%1:27:00::	sequence of a gene's DNA that transcribes into protein structures	sequence of a eukaryotic gene's DNA that is not translated into a protein	no	non-affixal	_	_	_	_	no	non-affixal	_	_	_	_
expectedness	unexpectedness	n	expectedness%1:07:00::	unexpectedness%1:07:00::	ordinariness as a consequence of being expected and not surprising	extraordinariness by virtue of being unexpected	no	affixal	un-	_	direct	_	_	_	_	_	_	_
